Authors;Title;Price;Cover;Pages;Publisher
Allen B. Downey;Think Complexity;600;Paperback;142;FOREIGN
Allen B. Downey;Think Bayes;600;Paperback;190;FOREIGN
Bird S., Klein E., Loper E.;Natural Language Processing with Python;1500;Paperback;450;FOREIGN
Christos H. Papadimitriou;Computational Complexity;900;Hardcover;523;FOREIGN
Daphne Koller, Nir Friedman;Probabilistic Graphical Models: Principles and Techniques;3000;Hardcover;1280;FOREIGN
Drew Conway, John Myles White;Machine Learning FOREIGN Hackers;600;Paperback;509;FOREIGN
Edgar Allan Poe;The collected tales and poems;400;Hardcover;783;FOREIGN
Eli Manor, Eugen Jost;Beatiful Geometry;785;Hardcover;186;FOREIGN
Farin G., HansFOREIGNd D.;Practical Linear Algebra. A Geometry Toolbox;3000;Hardcover;514;FOREIGN
Friedberg Arthur L., Friedberg Ira S.;Gold Coins of the World. From Ancient Times to the Present;3600;Hardcover;732;FOREIGN
Hashemi L.;English Grammar in Use Supplementary Exercises;277;Paperback;136;FOREIGN
Hewings M.;Advanced Grammar in Use with Answers;684;Paperback;294;FOREIGN
Ian Robinson, Jim Webber, Emil Eifrem;Graph Databases;600;Paperback;208;FOREIGN
Jared P. Lander;R FOREIGN Everyone;900;Paperback;464;FOREIGN
Klein P. N.;Coding the Matrix: Linear Algebra through Computer Science Applications;1500;Paperback;520;FOREIGN
Leyton-Brown Kevin, Shoham Yoav;Essentials of Game Theory;500;Paperback;90;FOREIGN
Microsoft Corporation;Справочник по автоматизации;410;Paperback;440;RUSSIAN
Microsoft Corporation;Справочник по Microsoft OLE DB 1.1;680;Paperback;624;RUSSIAN
Microsoft Corporation;Программирование на Microsoft Visual J++ 6.0;103;Paperback;504;RUSSIAN
Microsoft Corporation;Разработка приложений на Microsoft Visual C++ 6.0. Учебный курс;314;Hardcover;704;RUSSIAN
Miles Matthew B., Huberman Michael A., Saldana Johnny;Qualitative Data Analysis. Amethods Sourcebook;1000;Paperback;381;FOREIGN
Mott Tony;1001 Video Games You Must Play BeFOREIGNe You Die;400;Paperback;960;FOREIGN
Murphy R.;Essential Grammar in Use with Answers;418;Paperback;300;FOREIGN
Murphy R.;English Grammar in Use with Answers;684;Paperback;380;FOREIGN
Nathan Yau;Visualize This: The FlowingData Guide to Design, Visualization, and Statistics;908;Paperback;358;FOREIGN
Naylor H.;Essential Grammar in Use Supplementary Exercises with Answers;254;Paperback;106;FOREIGN
Newman M. E. J.;Networks: An Introduction;1800;Hardcover;770;FOREIGN
Oscar E. Fernandez;Everyday Calculus: Discovering the Hidden Math All Around Us;600;Hardcover;168;FOREIGN
Philipp K. Janert;Data Analysis with Open Source Tools;600;Paperback;509;FOREIGN
Pramod J. Sadalage, Martin Fowler;NoSQL. Distilled;600;Paperback;164;FOREIGN
Q. Ethan McCallum;Bad Data Handbook: Cleaning Up The Data So You Can Get Back To Work;900;Paperback;264;FOREIGN
Rajaraman Anand, Ullman Jeffrey David;Mining of Massive Datasets;1000;Hardcover;315;FOREIGN
Ron Larson, Bruce Edwards;Calculus;7875;Hardcover;1500;FOREIGN
RUSSIANsell M. A.;Mining the Social Web. 2-nd ed.;600;Paperback;420;FOREIGN
RUSSIANsell M. A.;Mining the Social Web;1500;Paperback;332;FOREIGN
Scott Murray;Interactive Data Visualization FOREIGN the Web;600;Paperback;246;FOREIGN
Shakespeare William;The Complete Works;400;Hardcover;1263;FOREIGN
Stephen Wolfram;A New Kind of Science;900;Hardcover;1192;FOREIGN
Surhone Lambert M., Tennoe Mariam T., Henssonow Susan F.;Rules of Play: Game Design, Katie Salen, Eric Zimmerman;100;Paperback;118;FOREIGN
Tufte E.R.;Envisioning InFOREIGNmation;2000;Hardcover;130;FOREIGN
Tufte E.R.;The Visual Display of Quantitative InFOREIGNmation;2000;Hardcover;200;FOREIGN
Wes McKinney;Python FOREIGN Data Analysis;600;Paperback;450;FOREIGN
Абельсон Х., Ледин К., Льюис Г.;Атака битов;500;Paperback;392;RUSSIAN
Азимов А.;Великие научные идеи. От Пифагора до Дарвина;90;Hardcover;204;RUSSIAN
Азимов А.;Асимметрия жизни. От секрета научных прозрений до проблемы перенаселения;90;Hardcover;268;RUSSIAN
Азимов А.;Строительный материал Вселенной. Вся Галактика в таблице Менделеева;90;Hardcover;269;RUSSIAN
Азимов А.;Константинополь. От легендарного Виза до династии Палеоглотов;90;Hardcover;264;RUSSIAN
Азимов А.;Основание и империя;100;Hardcover;319;RUSSIAN
Азимов А.;Земля Ханаанская. Родина иудаизма и христианства;100;Hardcover;335;RUSSIAN
Азимов А.;Римская империя. Величие и падение Вечного города;100;Hardcover;351;RUSSIAN
Азимов А.;Генетический код. От теории эволюции до расшифровк;100;Hardcover;202;RUSSIAN
Азимов А.;Путеводитель по науке. От египетских пирамид до космических станций;100;Hardcover;788;RUSSIAN
Азимов А.;Популярная физика. От архимедова рычага до квантовой теории;100;Hardcover;752;RUSSIAN
Азимов А.;Слова на карте. Географические названия и их смысл;100;Hardcover;367;RUSSIAN
Азимов А.;Четвертое измерение. От Аристотеля до Эйнштейна;100;Hardcover;284;RUSSIAN
Азимов А.;Темные века. Ранее Средневековье в хаосе войн;100;Hardcover;330;RUSSIAN
Азимов А.;Популярная анатомия. Строение и функции человеческого тела;100;Hardcover;398;RUSSIAN
Азимов А.;Загадки мироздания. Известные и неизвестные факты;100;Hardcover;429;RUSSIAN
Азимов А.;Энергия жизни. От искры до фотосинтеза;100;Hardcover;495;RUSSIAN
Азимов А.;История греции. От древней Эллады до наших дней;100;Hardcover;396;RUSSIAN
Азимов А.;Космические течения;100;Hardcover;287;RUSSIAN
Азимов А.;Слова в науке. История происхождения научных терминов;100;Hardcover;364;RUSSIAN
Азимов А.;Путеводитель по Шекспиру. Английские пьесы;200;Hardcover;811;RUSSIAN
Азимов А.;Путеводитель по Шекспиру. Греческие, римские и итальянские пьесы;200;Hardcover;716;RUSSIAN
Азимов А.;Слова в истории. Великие личности и знаменательные события;200;Hardcover;337;RUSSIAN
Азимов А.;Я, робот: фантастические произведения;477;Hardcover;1296;RUSSIAN
Азимов А.;Марс. Луна. Галактики. Звезды. Солнце: Занимательная астрономия;200;Hardcover;95;RUSSIAN
Азимов А.;Мир измерений. От локтей и ярдов к эргам и квантам;200;Hardcover;219;RUSSIAN
Азимов А.;Миры внутри миров. История открытия и покорения атома;200;Hardcover;172;RUSSIAN
Азимов А.;Часы, по которым мы живем. От солнечных часов до лунного календаря;200;Hardcover;187;RUSSIAN
Азимов А.;О времени, пространстве и других вещах. От египетских календарей до квантовой физики;200;Hardcover;270;RUSSIAN
